código,descriptor_es,descriptor_en
9130/39,"Hemangioendotelioma, maligno - grado o diferenciación sin determinar o sin asignar, o no procede","Hemangioendothelioma, malignant - grade or differentiation not determined or not assigned, or not applicable"
9130/6,"Hemangioendotelioma, maligno, metástasis","Hemangioendothelioma, malignant, metastasis"
9131/0,Hemangioma capilar,Capillary hemangioma
9132/0,Hemangioma intramuscular,Intramuscular hemangioma
9133/3,"Hemangioendotelioma epitelioide, NEOM","Epithelioid hemangioendothelioma, NOS"
9133/31,"Hemangioendotelioma epitelioide, NEOM - grado I, bien diferenciado","Epithelioid hemangioendothelioma, NOS - grade I, well differentiated"
9133/32,"Hemangioendotelioma epitelioide, NEOM - grado II, moderadamente diferenciado","Epithelioid hemangioendothelioma, NOS - grade II, moderately differentiated"
9133/33,"Hemangioendotelioma epitelioide, NEOM - grado III, pobremente diferenciado","Epithelioid hemangioendothelioma, NOS - grade III, poorly differentiated"
9133/34,"Hemangioendotelioma epitelioide, NEOM - grado IV, indiferenciado","Epithelioid hemangioendothelioma, NOS - grade IV, undifferentiated"
9133/39,"Hemangioendotelioma epitelioide, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Epithelioid hemangioendothelioma, NOS - grade or differentiation not determined or not assigned, or not applicable"
9133/6,"Hemangioendotelioma epitelioide, NEOM, metástasis","Epithelioid hemangioendothelioma, NOS, metastasis"
9135/1,Angioendotelioma intralinfático papilar,Papillary intralymphatic angioendothelioma
9136/1,Hemangioendotelioma de células fusiformes,Spindle cell hemangioendothelioma
9137/0,Miointimoma,Myointimoma
9137/3,Sarcoma intimal,Intimal sarcoma
9137/31,"Sarcoma intimal - grado I, bien diferenciado","Intimal sarcoma - grade I, well differentiated"
9137/32,"Sarcoma intimal - grado II, moderadamente diferenciado","Intimal sarcoma - grade II, moderately differentiated"
9137/33,"Sarcoma intimal - grado III, pobremente diferenciado","Intimal sarcoma - grade III, poorly differentiated"
9137/34,"Sarcoma intimal - grado IV, indiferenciado","Intimal sarcoma - grade IV, undifferentiated"
9137/39,"Sarcoma intimal - grado o diferenciación sin determinar o sin asignar, o no procede","Intimal sarcoma - grade or differentiation not determined or not assigned, or not applicable"
9137/6,"Sarcoma intimal, metástasis","Intimal sarcoma, metastasis"
