código,descriptor_es,descriptor_en
9811/36,"Leucemia/linfoma linfoblástica tipo B, NEOM - células B","B lymphoblastic leukemia/lymphoma, NOS - B cells"
9811/37,"Leucemia/linfoma linfoblástica tipo B, NEOM - células nulas","B lymphoblastic leukemia/lymphoma, NOS - null cells"
9811/38,"Leucemia/linfoma linfoblástica tipo B, NEOM - células NK","B lymphoblastic leukemia/lymphoma, NOS - NK cells"
9811/39,"Leucemia/linfoma linfoblástica tipo B, NEOM - tipo celular no determinado o no asignado, o no procede","B lymphoblastic leukemia/lymphoma, NOS - cell type not determined or not assigned, or not applicable"
9812/3,Leucemia/linfoma linfoblástica tipo B con t(9;22)(q34;q11.2); BCR-ABL1,B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1
9812/35,Leucemia/linfoma linfoblástica tipo B con t(9;22)(q34;q11.2); BCR-ABL1 - células T,B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1 - T cells
9812/36,Leucemia/linfoma linfoblástica tipo B con t(9;22)(q34;q11.2); BCR-ABL1 - células B,B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1 - B cells
9812/37,Leucemia/linfoma linfoblástica tipo B con t(9;22)(q34;q11.2); BCR-ABL1 - células nulas,B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1 - null cells
9812/38,Leucemia/linfoma linfoblástica tipo B con t(9;22)(q34;q11.2); BCR-ABL1 - células NK,B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1 - NK cells
9812/39,"Leucemia/linfoma linfoblástica tipo B con t(9;22)(q34;q11.2); BCR-ABL1 - tipo celular no determinado o no asignado, o no procede","B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1 - cell type not determined or not assigned, or not applicable"
9813/3,Leucemia/linfoma linfoblástica tipo B con t(v;11q23); MLL reordenado,B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged
9813/35,Leucemia/linfoma linfoblástica tipo B con t(v;11q23); MLL reordenado - células T,B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged - T cells
9813/36,Leucemia/linfoma linfoblástica tipo B con t(v;11q23); MLL reordenado - células B,B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged - B cells
9813/37,Leucemia/linfoma linfoblástica tipo B con t(v;11q23); MLL reordenado - células nulas,B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged - null cells
9813/38,Leucemia/linfoma linfoblástica tipo B con t(v;11q23); MLL reordenado - células NK,B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged - NK cells
9813/39,"Leucemia/linfoma linfoblástica tipo B con t(v;11q23); MLL reordenado - tipo celular no determinado o no asignado, o no procede","B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged - cell type not determined or not assigned, or not applicable"
9814/3,Leucemia/linfoma linfoblástica tipo B con t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1),B lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)
9814/35,Leucemia/linfoma linfoblástica tipo B con t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1) - células T,B lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1) - T cells
9814/36,Leucemia/linfoma linfoblástica tipo B con t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1) - células B,B lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1) - B cells
9814/37,Leucemia/linfoma linfoblástica tipo B con t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1) - células nulas,B lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1) - null cells
9814/38,Leucemia/linfoma linfoblástica tipo B con t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1) - células NK,B lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1) - NK cells
9814/39,"Leucemia/linfoma linfoblástica tipo B con t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1) - tipo celular no determinado o no asignado, o no procede","B lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1) - cell type not determined or not assigned, or not applicable"
9815/3,Leucemia/linfoma linfoblástica tipo B con hiperdiploidía,B lymphoblastic leukemia/lymphoma with hyperdiploidy
9815/35,Leucemia/linfoma linfoblástica tipo B con hiperdiploidía - células T,B lymphoblastic leukemia/lymphoma with hyperdiploidy - T cells
9815/36,Leucemia/linfoma linfoblástica tipo B con hiperdiploidía - células B,B lymphoblastic leukemia/lymphoma with hyperdiploidy - B cells
9815/37,Leucemia/linfoma linfoblástica tipo B con hiperdiploidía - células nulas,B lymphoblastic leukemia/lymphoma with hyperdiploidy - null cells
9815/38,Leucemia/linfoma linfoblástica tipo B con hiperdiploidía - células NK,B lymphoblastic leukemia/lymphoma with hyperdiploidy - NK cells
9815/39,"Leucemia/linfoma linfoblástica tipo B con hiperdiploidía - tipo celular no determinado o no asignado, o no procede","B lymphoblastic leukemia/lymphoma with hyperdiploidy - cell type not determined or not assigned, or not applicable"
9816/3,Leucemia/linfoma linfoblástica tipo B con hipodiploidía (LLA hipodiploide),B lymphoblastic leukemia/lymphoma with hypodiploidy (Hypodiploid ALL)
9816/35,Leucemia/linfoma linfoblástica tipo B con hipodiploidía (LLA hipodiploide) - células T,B lymphoblastic leukemia/lymphoma with hypodiploidy (Hypodiploid ALL) - T cells
9816/36,Leucemia/linfoma linfoblástica tipo B con hipodiploidía (LLA hipodiploide) - células B,B lymphoblastic leukemia/lymphoma with hypodiploidy (Hypodiploid ALL) - B cells
9816/37,Leucemia/linfoma linfoblástica tipo B con hipodiploidía (LLA hipodiploide) - células nulas,B lymphoblastic leukemia/lymphoma with hypodiploidy (Hypodiploid ALL) - null cells
9816/38,Leucemia/linfoma linfoblástica tipo B con hipodiploidía (LLA hipodiploide) - células NK,B lymphoblastic leukemia/lymphoma with hypodiploidy (Hypodiploid ALL) - NK cells
9816/39,"Leucemia/linfoma linfoblástica tipo B con hipodiploidía (LLA hipodiploide) - tipo celular no determinado o no asignado, o no procede","B lymphoblastic leukemia/lymphoma with hypodiploidy (Hypodiploid ALL) - cell type not determined or not assigned, or not applicable"
9817/3,Leucemia/linfoma linfoblástica tipo B con t(5;14)(q31;q32); IL3-IGH,B lymphoblastic leukemia/lymphoma with t(5;14)(q31;q32); IL3-IGH
9817/35,Leucemia/linfoma linfoblástica tipo B con t(5;14)(q31;q32); IL3-IGH - células T,B lymphoblastic leukemia/lymphoma with t(5;14)(q31;q32); IL3-IGH - T cells
9817/36,Leucemia/linfoma linfoblástica tipo B con t(5;14)(q31;q32); IL3-IGH - células B,B lymphoblastic leukemia/lymphoma with t(5;14)(q31;q32); IL3-IGH - B cells
9817/37,Leucemia/linfoma linfoblástica tipo B con t(5;14)(q31;q32); IL3-IGH - células nulas,B lymphoblastic leukemia/lymphoma with t(5;14)(q31;q32); IL3-IGH - null cells
9817/38,Leucemia/linfoma linfoblástica tipo B con t(5;14)(q31;q32); IL3-IGH - células NK,B lymphoblastic leukemia/lymphoma with t(5;14)(q31;q32); IL3-IGH - NK cells
9817/39,"Leucemia/linfoma linfoblástica tipo B con t(5;14)(q31;q32); IL3-IGH - tipo celular no determinado o no asignado, o no procede","B lymphoblastic leukemia/lymphoma with t(5;14)(q31;q32); IL3-IGH - cell type not determined or not assigned, or not applicable"
9818/3,Leucemia/linfoma linfoblástica tipo B con t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1),B lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)
9818/35,Leucemia/linfoma linfoblástica tipo B con t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1) - células T,B lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1) - T cells
9818/36,Leucemia/linfoma linfoblástica tipo B con t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1) - células B,B lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1) - B cells
9818/37,Leucemia/linfoma linfoblástica tipo B con t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1) - células nulas,B lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1) - null cells
9818/38,Leucemia/linfoma linfoblástica tipo B con t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1) - células NK,B lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1) - NK cells
9818/39,"Leucemia/linfoma linfoblástica tipo B con t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1) - tipo celular no determinado o no asignado, o no procede","B lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1) - cell type not determined or not assigned, or not applicable"
9819/3,"Leucemia/linfoma linfoblástica tipo B, tipo BCR-ABL1","B lymphoblastic leukemia/lymphoma, BCR-ABL1-like"
9819/35,"Leucemia/linfoma linfoblástica tipo B, tipo BCR-ABL1 - células T","B lymphoblastic leukemia/lymphoma, BCR-ABL1-like - T cells"
9819/36,"Leucemia/linfoma linfoblástica tipo B, tipo BCR-ABL1 - células B","B lymphoblastic leukemia/lymphoma, BCR-ABL1-like - B cells"
9819/37,"Leucemia/linfoma linfoblástica tipo B, tipo BCR-ABL1 - células nulas","B lymphoblastic leukemia/lymphoma, BCR-ABL1-like - null cells"
9819/38,"Leucemia/linfoma linfoblástica tipo B, tipo BCR-ABL1 - células NK","B lymphoblastic leukemia/lymphoma, BCR-ABL1-like - NK cells"
9819/39,"Leucemia/linfoma linfoblástica tipo B, tipo BCR-ABL1 - tipo celular no determinado o no asignado, o no procede","B lymphoblastic leukemia/lymphoma, BCR-ABL1-like - cell type not determined or not assigned, or not applicable"
9820/3,"Leucemia linfoide, NEOM","Lymphoid leukemia, NOS"
9820/35,"Leucemia linfoide, NEOM - células T","Lymphoid leukemia, NOS - T cells"
9820/36,"Leucemia linfoide, NEOM - células B","Lymphoid leukemia, NOS - B cells"
9820/37,"Leucemia linfoide, NEOM - células nulas","Lymphoid leukemia, NOS - null cells"
9820/38,"Leucemia linfoide, NEOM - células NK","Lymphoid leukemia, NOS - NK cells"
9820/39,"Leucemia linfoide, NEOM - tipo celular no determinado o no asignado, o no procede","Lymphoid leukemia, NOS - cell type not determined or not assigned, or not applicable"
9823/1,"Linfocitosis monoclonal de células B, tipo LLC","Monoclonal B-cell lymphocytosis, CLL type"
9823/3,Leucemia linfocítica crónica de células B/linfoma linfocítico de células pequeñas,B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma
9823/36,Leucemia linfocítica crónica de células B/linfoma linfocítico de células pequeñas - células B,B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma - B cells
9827/3,Leucemia/linfoma de células T adultas (HTLV-1 positivo),Adult T-cell leukemia/lymphoma (HTLV-1 positive)
9827/35,Leucemia/linfoma de células T adultas (HTLV-1 positivo) - células T,Adult T-cell leukemia/lymphoma (HTLV-1 positive) - T cells
9827/36,Leucemia/linfoma de células T adultas (HTLV-1 positivo) - células B,Adult T-cell leukemia/lymphoma (HTLV-1 positive) - B cells
9827/37,Leucemia/linfoma de células T adultas (HTLV-1 positivo) - células nulas,Adult T-cell leukemia/lymphoma (HTLV-1 positive) - null cells
9827/38,Leucemia/linfoma de células T adultas (HTLV-1 positivo) - células NK,Adult T-cell leukemia/lymphoma (HTLV-1 positive) - NK cells
9827/39,"Leucemia/linfoma de células T adultas (HTLV-1 positivo) - tipo celular no determinado o no asignado, o no procede","Adult T-cell leukemia/lymphoma (HTLV-1 positive) - cell type not determined or not assigned, or not applicable"
9831/3,Leucemia linfocítica granular de células T grandes,T-cell large granular lymphocytic leukemia
9831/35,Leucemia linfocítica granular de células T grandes - células T,T-cell large granular lymphocytic leukemia - T cells
9831/36,Leucemia linfocítica granular de células T grandes - células B,T-cell large granular lymphocytic leukemia - B cells
9831/37,Leucemia linfocítica granular de células T grandes - células nulas,T-cell large granular lymphocytic leukemia - null cells
9831/38,Leucemia linfocítica granular de células T grandes - células NK,T-cell large granular lymphocytic leukemia - NK cells
9831/39,"Leucemia linfocítica granular de células T grandes - tipo celular no determinado o no asignado, o no procede","T-cell large granular lymphocytic leukemia - cell type not determined or not assigned, or not applicable"
9832/3,"Leucemia prolinfocítica, NEOM","Prolymphocytic leukemia, NOS"
9832/35,"Leucemia prolinfocítica, NEOM - células T","Prolymphocytic leukemia, NOS - T cells"
9832/36,"Leucemia prolinfocítica, NEOM - células B","Prolymphocytic leukemia, NOS - B cells"
9832/37,"Leucemia prolinfocítica, NEOM - células nulas","Prolymphocytic leukemia, NOS - null cells"
9832/38,"Leucemia prolinfocítica, NEOM - células NK","Prolymphocytic leukemia, NOS - NK cells"
9832/39,"Leucemia prolinfocítica, NEOM - tipo celular no determinado o no asignado, o no procede","Prolymphocytic leukemia, NOS - cell type not determined or not assigned, or not applicable"
9833/3,"Leucemia prolinfocítica, tipo células B","Prolymphocytic leukemia, B-cell type"
9833/35,"Leucemia prolinfocítica, tipo células B - células T","Prolymphocytic leukemia, B-cell type - T cells"
9833/36,"Leucemia prolinfocítica, tipo células B - células B","Prolymphocytic leukemia, B-cell type - B cells"
9833/37,"Leucemia prolinfocítica, tipo células B - células nulas","Prolymphocytic leukemia, B-cell type - null cells"
9833/38,"Leucemia prolinfocítica, tipo células B - células NK","Prolymphocytic leukemia, B-cell type - NK cells"
9833/39,"Leucemia prolinfocítica, tipo células B - tipo celular no determinado o no asignado, o no procede","Prolymphocytic leukemia, B-cell type - cell type not determined or not assigned, or not applicable"
9834/3,"Leucemia prolinfocítica, tipo células T","Prolymphocytic leukemia, T-cell type"
9834/35,"Leucemia prolinfocítica, tipo células T - células T","Prolymphocytic leukemia, T-cell type - T cells"
9834/36,"Leucemia prolinfocítica, tipo células T - células B","Prolymphocytic leukemia, T-cell type - B cells"
9834/37,"Leucemia prolinfocítica, tipo células T - células nulas","Prolymphocytic leukemia, T-cell type - null cells"
9834/38,"Leucemia prolinfocítica, tipo células T - células NK","Prolymphocytic leukemia, T-cell type - NK cells"
9834/39,"Leucemia prolinfocítica, tipo células T - tipo celular no determinado o no asignado, o no procede","Prolymphocytic leukemia, T-cell type - cell type not determined or not assigned, or not applicable"
9835/3,"Leucemia linfoblástica de células precursoras, NEOM","Precursor cell lymphoblastic leukemia, NOS"
9835/35,"Leucemia linfoblástica de células precursoras, NEOM - células T","Precursor cell lymphoblastic leukemia, NOS - T cells"
9835/36,"Leucemia linfoblástica de células precursoras, NEOM - células B","Precursor cell lymphoblastic leukemia, NOS - B cells"
9835/37,"Leucemia linfoblástica de células precursoras, NEOM - células nulas","Precursor cell lymphoblastic leukemia, NOS - null cells"
9835/38,"Leucemia linfoblástica de células precursoras, NEOM - células NK","Precursor cell lymphoblastic leukemia, NOS - NK cells"
9835/39,"Leucemia linfoblástica de células precursoras, NEOM - tipo celular no determinado o no asignado, o no procede","Precursor cell lymphoblastic leukemia, NOS - cell type not determined or not assigned, or not applicable"
9837/3,Leucemia linfoblástica de células T precursoras,Precursor T-cell lymphoblastic leukemia
9837/35,Leucemia linfoblástica de células T precursoras - células T,Precursor T-cell lymphoblastic leukemia - T cells
9837/36,Leucemia linfoblástica de células T precursoras - células B,Precursor T-cell lymphoblastic leukemia - B cells
9837/37,Leucemia linfoblástica de células T precursoras - células nulas,Precursor T-cell lymphoblastic leukemia - null cells
9837/38,Leucemia linfoblástica de células T precursoras - células NK,Precursor T-cell lymphoblastic leukemia - NK cells
9837/39,"Leucemia linfoblástica de células T precursoras - tipo celular no determinado o no asignado, o no procede","Precursor T-cell lymphoblastic leukemia - cell type not determined or not assigned, or not applicable"
9840/3,Leucemia eritroide aguda,Acute erythroid leukemia
9840/35,Leucemia eritroide aguda - células T,Acute erythroid leukemia - T cells
9840/36,Leucemia eritroide aguda - células B,Acute erythroid leukemia - B cells
9840/37,Leucemia eritroide aguda - células nulas,Acute erythroid leukemia - null cells
9840/38,Leucemia eritroide aguda - células NK,Acute erythroid leukemia - NK cells
9840/39,"Leucemia eritroide aguda - tipo celular no determinado o no asignado, o no procede","Acute erythroid leukemia - cell type not determined or not assigned, or not applicable"
9860/3,"Leucemia mieloide, NEOM","Myeloid leukemia, NOS"
9860/35,"Leucemia mieloide, NEOM - células T","Myeloid leukemia, NOS - T cells"
9860/36,"Leucemia mieloide, NEOM - células B","Myeloid leukemia, NOS - B cells"
9860/37,"Leucemia mieloide, NEOM - células nulas","Myeloid leukemia, NOS - null cells"
9860/38,"Leucemia mieloide, NEOM - células NK","Myeloid leukemia, NOS - NK cells"
9860/39,"Leucemia mieloide, NEOM - tipo celular no determinado o no asignado, o no procede","Myeloid leukemia, NOS - cell type not determined or not assigned, or not applicable"
9861/3,"Leucemia mieloide aguda, NEOM","Acute myeloid leukemia, NOS"
9861/35,"Leucemia mieloide aguda, NEOM - células T","Acute myeloid leukemia, NOS - T cells"
9861/36,"Leucemia mieloide aguda, NEOM - células B","Acute myeloid leukemia, NOS - B cells"
9861/37,"Leucemia mieloide aguda, NEOM - células nulas","Acute myeloid leukemia, NOS - null cells"
9861/38,"Leucemia mieloide aguda, NEOM - células NK","Acute myeloid leukemia, NOS - NK cells"
9861/39,"Leucemia mieloide aguda, NEOM - tipo celular no determinado o no asignado, o no procede","Acute myeloid leukemia, NOS - cell type not determined or not assigned, or not applicable"
9863/3,"Leucemia mieloide crónica, NEOM","Chronic myeloid leukemia, NOS"
9863/35,"Leucemia mieloide crónica, NEOM - células T","Chronic myeloid leukemia, NOS - T cells"
9863/36,"Leucemia mieloide crónica, NEOM - células B","Chronic myeloid leukemia, NOS - B cells"
9863/37,"Leucemia mieloide crónica, NEOM - células nulas","Chronic myeloid leukemia, NOS - null cells"
9863/38,"Leucemia mieloide crónica, NEOM - células NK","Chronic myeloid leukemia, NOS - NK cells"
9863/39,"Leucemia mieloide crónica, NEOM - tipo celular no determinado o no asignado, o no procede","Chronic myeloid leukemia, NOS - cell type not determined or not assigned, or not applicable"
9865/3,Leucemia mieloide aguda con t(6;9)(p23;q34); DEK-NUP214,Acute myeloid leukemia with t(6;9)(p23;q34); DEK-NUP214
9865/35,Leucemia mieloide aguda con t(6;9)(p23;q34); DEK-NUP214 - células T,Acute myeloid leukemia with t(6;9)(p23;q34); DEK-NUP214 - T cells
9865/36,Leucemia mieloide aguda con t(6;9)(p23;q34); DEK-NUP214 - células B,Acute myeloid leukemia with t(6;9)(p23;q34); DEK-NUP214 - B cells
9865/37,Leucemia mieloide aguda con t(6;9)(p23;q34); DEK-NUP214 - células nulas,Acute myeloid leukemia with t(6;9)(p23;q34); DEK-NUP214 - null cells
9865/38,Leucemia mieloide aguda con t(6;9)(p23;q34); DEK-NUP214 - células NK,Acute myeloid leukemia with t(6;9)(p23;q34); DEK-NUP214 - NK cells
9865/39,"Leucemia mieloide aguda con t(6;9)(p23;q34); DEK-NUP214 - tipo celular no determinado o no asignado, o no procede","Acute myeloid leukemia with t(6;9)(p23;q34); DEK-NUP214 - cell type not determined or not assigned, or not applicable"
9866/3,"Leucemia promielocítica aguda, t(15;17)(q22;q11-12)","Acute promyelocytic leukemia, t(15;17)(q22;q11-12)"
9866/35,"Leucemia promielocítica aguda, t(15;17)(q22;q11-12) - células T","Acute promyelocytic leukemia, t(15;17)(q22;q11-12) - T cells"
9866/36,"Leucemia promielocítica aguda, t(15;17)(q22;q11-12) - células B","Acute promyelocytic leukemia, t(15;17)(q22;q11-12) - B cells"
9866/37,"Leucemia promielocítica aguda, t(15;17)(q22;q11-12) - células nulas","Acute promyelocytic leukemia, t(15;17)(q22;q11-12) - null cells"
9866/38,"Leucemia promielocítica aguda, t(15;17)(q22;q11-12) - células NK","Acute promyelocytic leukemia, t(15;17)(q22;q11-12) - NK cells"
9866/39,"Leucemia promielocítica aguda, t(15;17)(q22;q11-12) - tipo celular no determinado o no asignado, o no procede","Acute promyelocytic leukemia, t(15;17)(q22;q11-12) - cell type not determined or not assigned, or not applicable"
9867/3,"Leucemia mielomonocítica aguda, NEOM","Acute myelomonocytic leukemia, NOS"
9867/35,"Leucemia mielomonocítica aguda, NEOM - células T","Acute myelomonocytic leukemia, NOS - T cells"
9867/36,"Leucemia mielomonocítica aguda, NEOM - células B","Acute myelomonocytic leukemia, NOS - B cells"
9867/37,"Leucemia mielomonocítica aguda, NEOM - células nulas","Acute myelomonocytic leukemia, NOS - null cells"
9867/38,"Leucemia mielomonocítica aguda, NEOM - células NK","Acute myelomonocytic leukemia, NOS - NK cells"
9867/39,"Leucemia mielomonocítica aguda, NEOM - tipo celular no determinado o no asignado, o no procede","Acute myelomonocytic leukemia, NOS - cell type not determined or not assigned, or not applicable"
9869/3,Leucemia mieloide aguda con inv(3)(q21;q26.2) o t(3;3)(q21;q26.2); RPN1-EVI1,Acute myeloid leukemia with inv(3)(q21;q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1
9869/35,Leucemia mieloide aguda con inv(3)(q21;q26.2) o t(3;3)(q21;q26.2); RPN1-EVI1 - células T,Acute myeloid leukemia with inv(3)(q21;q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1 - T cells
9869/36,Leucemia mieloide aguda con inv(3)(q21;q26.2) o t(3;3)(q21;q26.2); RPN1-EVI1 - células B,Acute myeloid leukemia with inv(3)(q21;q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1 - B cells
9869/37,Leucemia mieloide aguda con inv(3)(q21;q26.2) o t(3;3)(q21;q26.2); RPN1-EVI1 - células nulas,Acute myeloid leukemia with inv(3)(q21;q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1 - null cells
9869/38,Leucemia mieloide aguda con inv(3)(q21;q26.2) o t(3;3)(q21;q26.2); RPN1-EVI1 - células NK,Acute myeloid leukemia with inv(3)(q21;q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1 - NK cells
9869/39,"Leucemia mieloide aguda con inv(3)(q21;q26.2) o t(3;3)(q21;q26.2); RPN1-EVI1 - tipo celular no determinado o no asignado, o no procede","Acute myeloid leukemia with inv(3)(q21;q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1 - cell type not determined or not assigned, or not applicable"
9870/3,Leucemia basófila aguda,Acute basophilic leukemia
9870/35,Leucemia basófila aguda - células T,Acute basophilic leukemia - T cells
9870/36,Leucemia basófila aguda - células B,Acute basophilic leukemia - B cells
9870/37,Leucemia basófila aguda - células nulas,Acute basophilic leukemia - null cells
9870/38,Leucemia basófila aguda - células NK,Acute basophilic leukemia - NK cells
9870/39,"Leucemia basófila aguda - tipo celular no determinado o no asignado, o no procede","Acute basophilic leukemia - cell type not determined or not assigned, or not applicable"
9871/3,Leucemia mieloide aguda con eosinófilos anormales en médula ósea,Acute myeloid leukemia with abnormal marrow eosinophils
9871/35,Leucemia mieloide aguda con eosinófilos anormales en médula ósea - células T,Acute myeloid leukemia with abnormal marrow eosinophils - T cells
9871/36,Leucemia mieloide aguda con eosinófilos anormales en médula ósea - células B,Acute myeloid leukemia with abnormal marrow eosinophils - B cells
9871/37,Leucemia mieloide aguda con eosinófilos anormales en médula ósea - células nulas,Acute myeloid leukemia with abnormal marrow eosinophils - null cells
9871/38,Leucemia mieloide aguda con eosinófilos anormales en médula ósea - células NK,Acute myeloid leukemia with abnormal marrow eosinophils - NK cells
9871/39,"Leucemia mieloide aguda con eosinófilos anormales en médula ósea - tipo celular no determinado o no asignado, o no procede","Acute myeloid leukemia with abnormal marrow eosinophils - cell type not determined or not assigned, or not applicable"
9872/3,"Leucemia mieloide aguda, diferenciación mínima","Acute myeloid leukemia, minimal differentiation"
9872/35,"Leucemia mieloide aguda, diferenciación mínima - células T","Acute myeloid leukemia, minimal differentiation - T cells"
9872/36,"Leucemia mieloide aguda, diferenciación mínima - células B","Acute myeloid leukemia, minimal differentiation - B cells"
9872/37,"Leucemia mieloide aguda, diferenciación mínima - células nulas","Acute myeloid leukemia, minimal differentiation - null cells"
9872/38,"Leucemia mieloide aguda, diferenciación mínima - células NK","Acute myeloid leukemia, minimal differentiation - NK cells"
9872/39,"Leucemia mieloide aguda, diferenciación mínima - tipo celular no determinado o no asignado, o no procede","Acute myeloid leukemia, minimal differentiation - cell type not determined or not assigned, or not applicable"
9873/3,Leucemia mieloide aguda sin maduración,Acute myeloid leukemia without maturation
9873/35,Leucemia mieloide aguda sin maduración - células T,Acute myeloid leukemia without maturation - T cells
9873/36,Leucemia mieloide aguda sin maduración - células B,Acute myeloid leukemia without maturation - B cells
9873/37,Leucemia mieloide aguda sin maduración - células nulas,Acute myeloid leukemia without maturation - null cells
9873/38,Leucemia mieloide aguda sin maduración - células NK,Acute myeloid leukemia without maturation - NK cells
9873/39,"Leucemia mieloide aguda sin maduración - tipo celular no determinado o no asignado, o no procede","Acute myeloid leukemia without maturation - cell type not determined or not assigned, or not applicable"
9874/3,Leucemia mieloide aguda con maduración,Acute myeloid leukemia with maturation
9874/35,Leucemia mieloide aguda con maduración - células T,Acute myeloid leukemia with maturation - T cells
9874/36,Leucemia mieloide aguda con maduración - células B,Acute myeloid leukemia with maturation - B cells
9874/37,Leucemia mieloide aguda con maduración - células nulas,Acute myeloid leukemia with maturation - null cells
9874/38,Leucemia mieloide aguda con maduración - células NK,Acute myeloid leukemia with maturation - NK cells
9874/39,"Leucemia mieloide aguda con maduración - tipo celular no determinado o no asignado, o no procede","Acute myeloid leukemia with maturation - cell type not determined or not assigned, or not applicable"
9875/3,"Leucemia mielógena crónica, BCR/ABL positivo","Chronic myelogenous leukemia, BCR/ABL positive"
9875/35,"Leucemia mielógena crónica, BCR/ABL positivo - células T","Chronic myelogenous leukemia, BCR/ABL positive - T cells"
9875/36,"Leucemia mielógena crónica, BCR/ABL positivo - células B","Chronic myelogenous leukemia, BCR/ABL positive - B cells"
9875/37,"Leucemia mielógena crónica, BCR/ABL positivo - células nulas","Chronic myelogenous leukemia, BCR/ABL positive - null cells"
9875/38,"Leucemia mielógena crónica, BCR/ABL positivo - células NK","Chronic myelogenous leukemia, BCR/ABL positive - NK cells"
9875/39,"Leucemia mielógena crónica, BCR/ABL positivo - tipo celular no determinado o no asignado, o no procede","Chronic myelogenous leukemia, BCR/ABL positive - cell type not determined or not assigned, or not applicable"
9876/3,"Leucemia mieloide crónica atípica, BCR/ABL negativo","Atypical chronic myeloid leukemia, BCR/ABL negative"
9876/35,"Leucemia mieloide crónica atípica, BCR/ABL negativo - células T","Atypical chronic myeloid leukemia, BCR/ABL negative - T cells"
9876/36,"Leucemia mieloide crónica atípica, BCR/ABL negativo - células B","Atypical chronic myeloid leukemia, BCR/ABL negative - B cells"
9876/37,"Leucemia mieloide crónica atípica, BCR/ABL negativo - células nulas","Atypical chronic myeloid leukemia, BCR/ABL negative - null cells"
9876/38,"Leucemia mieloide crónica atípica, BCR/ABL negativo - células NK","Atypical chronic myeloid leukemia, BCR/ABL negative - NK cells"
9876/39,"Leucemia mieloide crónica atípica, BCR/ABL negativo - tipo celular no determinado o no asignado, o no procede","Atypical chronic myeloid leukemia, BCR/ABL negative - cell type not determined or not assigned, or not applicable"
9877/3,Leucemia mieloide aguda con NPM1 mutado,Acute myeloid leukemia with mutated NPM1
9877/35,Leucemia mieloide aguda con NPM1 mutado - células T,Acute myeloid leukemia with mutated NPM1 - T cells
9877/36,Leucemia mieloide aguda con NPM1 mutado - células B,Acute myeloid leukemia with mutated NPM1 - B cells
